pagamento_forma,pagamento_forma_ref
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
debit_card,2
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
boleto,0
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
voucher,3
boleto,0
voucher,3
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
voucher,3
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
voucher,3
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
debit_card,2
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
voucher,3
debit_card,2
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
voucher,3
credit_card,1
voucher,3
boleto,0
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
debit_card,2
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
boleto,0
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
boleto,0
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
debit_card,2
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
boleto,0
credit_card,1
debit_card,2
credit_card,1
boleto,0
credit_card,1
voucher,3
credit_card,1
credit_card,1
boleto,0
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
credit_card,1
voucher,3
credit_card,1
boleto,0
boleto,0
boleto,0
credit_card,1
credit_card,1
boleto,0
boleto,0
credit_card,1
credit_card,1
credit_card,1
boleto,0
credit_card,1
credit_card,1
